"analysis","repeat_id","metric","estimate"
"volume_exploratory",5,"log_loss",0.520179703986146
"volume_exploratory",5,"calibration_intercept",0.00342562114968946
"volume_exploratory",5,"calibration_slope",0.885548069118276
"volume_exploratory",6,"auc",0.818692234603092
"volume_exploratory",6,"brier",0.169215205572044
"volume_exploratory",6,"log_loss",0.512258281170658
"volume_exploratory",6,"calibration_intercept",0.0108065070843254
"volume_exploratory",6,"calibration_slope",0.922573048653807
"volume_exploratory",7,"auc",0.814718839077481
"volume_exploratory",7,"brier",0.171427599484339
"volume_exploratory",7,"log_loss",0.516462937982905
"volume_exploratory",7,"calibration_intercept",-0.010991454501427
"volume_exploratory",7,"calibration_slope",0.901199366024017
"volume_exploratory",8,"auc",0.81071665083067
"volume_exploratory",8,"brier",0.173270131907173
"volume_exploratory",8,"log_loss",0.521964341172842
"volume_exploratory",8,"calibration_intercept",-0.0232493921507903
"volume_exploratory",8,"calibration_slope",0.874200941374837
"volume_exploratory",9,"auc",0.812703348593476
"volume_exploratory",9,"brier",0.171876119801769
"volume_exploratory",9,"log_loss",0.518367334846485
"volume_exploratory",9,"calibration_intercept",-0.00579744959698159
