"repeat_id","fold","model","analysis_observations","analysis_events","assessment_observations","assessment_events","converged","iterations","minimum_prediction","maximum_prediction"
8,8,"historical_benchmark",343,138,37,15,TRUE,5,0.0194031859035741,0.952798944261641
8,8,"primary_modern",343,138,37,15,TRUE,5,0.0171945227886101,0.958381777499284
8,8,"nonlinear_psa",343,138,37,15,TRUE,5,0.00567279465697972,0.953473548636809
8,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0440687604938184,0.99522611472356
8,9,"primary_modern",343,138,37,15,TRUE,5,0.0457698061654076,0.946823426431517
8,9,"nonlinear_psa",343,138,37,15,TRUE,5,0.0550319043385146,0.989709373490538
8,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0356937702043947,0.64763807641159
8,10,"primary_modern",343,138,37,15,TRUE,5,0.0233772869061507,0.704411874619582
8,10,"nonlinear_psa",343,138,37,15,TRUE,5,0.0253800342815626,0.64503173820298
9,1,"historical_benchmark",341,137,39,16,TRUE,5,0.0689549874112038,0.998019843019705
9,1,"primary_modern",341,137,39,16,TRUE,5,0.0253469878431612,0.981170312228091
9,1,"nonlinear_psa",341,137,39,16,TRUE,5,0.00926122562718489,0.991772510729217
9,2,"historical_benchmark",341,137,39,16,TRUE,5,0.0587418223115875,0.978028183962567
9,2,"primary_modern",341,137,39,16,TRUE,5,0.0572164748244634,0.941987347786718
9,2,"nonlinear_psa",341,137,39,16,TRUE,6,0.0605124918166399,0.962976538002759
9,3,"historical_benchmark",341,137,39,16,TRUE,5,0.000194814800412414,0.776193967438245
9,3,"primary_modern",341,137,39,16,TRUE,5,8.70229329440392e-05,0.821843783390285
9,3,"nonlinear_psa",341,137,39,16,TRUE,5,2.17694063808613e-05,0.80132081897956
9,4,"historical_benchmark",342,138,38,15,TRUE,5,0.0457170942377418,0.894835983103271
9,4,"primary_modern",342,138,38,15,TRUE,5,0.0315530243217733,0.893553765261895
9,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.0301917217550552,0.884292831991003
9,5,"historical_benchmark",342,138,38,15,TRUE,5,0.000459365598621704,0.951514759747003
9,5,"primary_modern",342,138,38,15,TRUE,5,0.000635922155806273,0.900757479176677
9,5,"nonlinear_psa",342,138,38,15,TRUE,6,0.000669006527827129,0.926210699255847
9,6,"historical_benchmark",342,138,38,15,TRUE,5,0.041996342970605,0.98641050324842
9,6,"primary_modern",342,138,38,15,TRUE,5,0.0317385706380168,0.953069708123737
9,6,"nonlinear_psa",342,138,38,15,TRUE,6,0.0220768498221969,0.972762228710472
9,7,"historical_benchmark",342,138,38,15,TRUE,5,0.0417877249725405,0.993713809564798
9,7,"primary_modern",342,138,38,15,TRUE,5,0.0429741421265141,0.956882244059123
9,7,"nonlinear_psa",342,138,38,15,TRUE,6,0.0383915343758025,0.983784644969714
9,8,"historical_benchmark",343,138,37,15,TRUE,5,0.0444612314142573,0.97152489138517
9,8,"primary_modern",343,138,37,15,TRUE,5,0.0389744967430834,0.970198343565637
9,8,"nonlinear_psa",343,138,37,15,TRUE,5,0.0106679568437999,0.970463107106113
9,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0514172833019961,0.969132757964314
9,9,"primary_modern",343,138,37,15,TRUE,5,0.0520683184583478,0.931847531495674
9,9,"nonlinear_psa",343,138,37,15,TRUE,5,0.0602735741659742,0.9540505477925
9,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0488456369837339,0.975714881873497
9,10,"primary_modern",343,138,37,15,TRUE,5,0.050019398487036,0.927772208464565
9,10,"nonlinear_psa",343,138,37,15,TRUE,6,0.0608312089656783,0.952368881365501
10,1,"historical_benchmark",341,137,39,16,TRUE,5,0.0502275038706089,0.988949569407216
10,1,"primary_modern",341,137,39,16,TRUE,5,0.0536624148162668,0.972194330144793
10,1,"nonlinear_psa",341,137,39,16,TRUE,6,0.0244607333777916,0.985472675089778
10,2,"historical_benchmark",341,137,39,16,TRUE,5,0.000225697266472032,0.999284090101344
10,2,"primary_modern",341,137,39,16,TRUE,5,8.08017518019274e-05,0.989830399272966
10,2,"nonlinear_psa",341,137,39,16,TRUE,5,4.70432022331128e-05,0.995515383846363
10,3,"historical_benchmark",341,137,39,16,TRUE,5,0.0193012639497897,0.972270169777322
10,3,"primary_modern",341,137,39,16,TRUE,5,0.0242611035917949,0.965330107113469
10,3,"nonlinear_psa",341,137,39,16,TRUE,6,0.0191094414681588,0.968987164577072
10,4,"historical_benchmark",342,138,38,15,TRUE,5,0.0478079043983452,0.965233984024147
10,4,"primary_modern",342,138,38,15,TRUE,5,0.0321464442671273,0.964007007320003
10,4,"nonlinear_psa",342,138,38,15,TRUE,5,0.00514093240476559,0.96357921558297
10,5,"historical_benchmark",342,138,38,15,TRUE,5,0.0389310467701923,0.988804389114434
10,5,"primary_modern",342,138,38,15,TRUE,5,0.0360149549534165,0.94731878555994
10,5,"nonlinear_psa",342,138,38,15,TRUE,6,0.01268948093088,0.971792724955083
10,6,"historical_benchmark",342,138,38,15,TRUE,5,0.000140459952650549,0.961877581634291
10,6,"primary_modern",342,138,38,15,TRUE,5,0.000191552722595888,0.965581372727409
10,6,"nonlinear_psa",342,138,38,15,TRUE,6,0.000195527245780438,0.957480822034053
10,7,"historical_benchmark",342,138,38,15,TRUE,5,0.0518934062089466,0.798931892753264
10,7,"primary_modern",342,138,38,15,TRUE,5,0.0489583586408241,0.773077153430199
10,7,"nonlinear_psa",342,138,38,15,TRUE,5,0.0437896727799324,0.754095941230769
10,8,"historical_benchmark",343,138,37,15,TRUE,5,0.044173898733033,0.969435635502375
10,8,"primary_modern",343,138,37,15,TRUE,5,0.0196652601408176,0.9531339614004
10,8,"nonlinear_psa",343,138,37,15,TRUE,6,0.00945676883998921,0.970269414181739
10,9,"historical_benchmark",343,138,37,15,TRUE,5,0.0494958366477853,0.918760440553016
10,9,"primary_modern",343,138,37,15,TRUE,5,0.0463110528405048,0.91565457965767
10,9,"nonlinear_psa",343,138,37,15,TRUE,6,0.0356966745750804,0.910968535645412
10,10,"historical_benchmark",343,138,37,15,TRUE,5,0.0458438025772441,0.991250514263136
10,10,"primary_modern",343,138,37,15,TRUE,5,0.0513480644737172,0.950653817219328
10,10,"nonlinear_psa",343,138,37,15,TRUE,5,0.0588893414098339,0.978299793651861
11,1,"historical_benchmark",341,137,39,16,TRUE,5,0.0425555335066844,0.998384534909143
11,1,"primary_modern",341,137,39,16,TRUE,5,0.0416380848844952,0.986525352316695
11,1,"nonlinear_psa",341,137,39,16,TRUE,5,0.0331384494764217,0.995030868786706
11,2,"historical_benchmark",341,137,39,16,TRUE,5,0.0757492244495871,0.843275094137921
11,2,"primary_modern",341,137,39,16,TRUE,5,0.0434123034473333,0.839455495131634
11,2,"nonlinear_psa",341,137,39,16,TRUE,6,0.0357210305882479,0.820459316730285
