"model","repeat_id","metric","estimate"
"primary_modern",20,"log_loss",0.523153295464583
"primary_modern",20,"calibration_intercept",-0.00491373235078241
"primary_modern",20,"calibration_slope",0.890770219896597
"nonlinear_psa",1,"auc",0.806052229996257
"nonlinear_psa",1,"brier",0.174055085408087
"nonlinear_psa",1,"log_loss",0.519701597484038
"nonlinear_psa",1,"calibration_intercept",-0.00482601107022901
"nonlinear_psa",1,"calibration_slope",0.891440671077032
"nonlinear_psa",2,"auc",0.799660245889839
"nonlinear_psa",2,"brier",0.177389363409748
"nonlinear_psa",2,"log_loss",0.533884366241783
"nonlinear_psa",2,"calibration_intercept",0.015173756150498
"nonlinear_psa",2,"calibration_slope",0.838998927256478
"nonlinear_psa",3,"auc",0.801934870864645
"nonlinear_psa",3,"brier",0.175629827043501
"nonlinear_psa",3,"log_loss",0.523399425454317
"nonlinear_psa",3,"calibration_intercept",0.000461391757424393
"nonlinear_psa",3,"calibration_slope",0.878896119204142
"nonlinear_psa",4,"auc",0.809075465722265
"nonlinear_psa",4,"brier",0.172697529022767
"nonlinear_psa",4,"log_loss",0.517244255158284
"nonlinear_psa",4,"calibration_intercept",-0.00722958035632978
"nonlinear_psa",4,"calibration_slope",0.910519678002176
"nonlinear_psa",5,"auc",0.803863983185051
"nonlinear_psa",5,"brier",0.175714021080037
"nonlinear_psa",5,"log_loss",0.52908928344541
"nonlinear_psa",5,"calibration_intercept",0.00751873683196169
"nonlinear_psa",5,"calibration_slope",0.852470413285287
"nonlinear_psa",6,"auc",0.810054418243068
"nonlinear_psa",6,"brier",0.171926911719259
"nonlinear_psa",6,"log_loss",0.515886227137554
"nonlinear_psa",6,"calibration_intercept",0.016167279520043
"nonlinear_psa",6,"calibration_slope",0.913954435819327
"nonlinear_psa",7,"auc",0.80717514612306
"nonlinear_psa",7,"brier",0.17385383837145
"nonlinear_psa",7,"log_loss",0.520469601711019
"nonlinear_psa",7,"calibration_intercept",-0.00792217982351318
"nonlinear_psa",7,"calibration_slope",0.890973299780341
"nonlinear_psa",8,"auc",0.802136419913046
"nonlinear_psa",8,"brier",0.176030991697157
"nonlinear_psa",8,"log_loss",0.527050740192054
"nonlinear_psa",8,"calibration_intercept",-0.0146262233610045
"nonlinear_psa",8,"calibration_slope",0.858351866467603
"nonlinear_psa",9,"auc",0.806397742650658
"nonlinear_psa",9,"brier",0.174499674713069
"nonlinear_psa",9,"log_loss",0.521993042342935
"nonlinear_psa",9,"calibration_intercept",-0.00335951623608639
"nonlinear_psa",9,"calibration_slope",0.89308107883897
"nonlinear_psa",10,"auc",0.804583801215053
"nonlinear_psa",10,"brier",0.175400574616729
"nonlinear_psa",10,"log_loss",0.523018066976781
"nonlinear_psa",10,"calibration_intercept",-0.00874669209064072
"nonlinear_psa",10,"calibration_slope",0.883340704490738
"nonlinear_psa",11,"auc",0.80369122685785
"nonlinear_psa",11,"brier",0.174649927773048
"nonlinear_psa",11,"log_loss",0.522639179101925
"nonlinear_psa",11,"calibration_intercept",0.000397886344056866
"nonlinear_psa",11,"calibration_slope",0.889404318919084
"nonlinear_psa",12,"auc",0.80700238979586
"nonlinear_psa",12,"brier",0.17346453600696
"nonlinear_psa",12,"log_loss",0.519488620369672
"nonlinear_psa",12,"calibration_intercept",-0.00616071547070386
"nonlinear_psa",12,"calibration_slope",0.897993626808912
"nonlinear_psa",13,"auc",0.803777605021451
"nonlinear_psa",13,"brier",0.175221073712631
"nonlinear_psa",13,"log_loss",0.522566922882952
"nonlinear_psa",13,"calibration_intercept",-0.0108385657553774
"nonlinear_psa",13,"calibration_slope",0.89279268564491
"nonlinear_psa",14,"auc",0.805246033802655
"nonlinear_psa",14,"brier",0.174376026759906
"nonlinear_psa",14,"log_loss",0.522136246767622
"nonlinear_psa",14,"calibration_intercept",-0.00698692426187691
"nonlinear_psa",14,"calibration_slope",0.881653795230037
"nonlinear_psa",15,"auc",0.807491866056261
"nonlinear_psa",15,"brier",0.173749715859738
"nonlinear_psa",15,"log_loss",0.519540894874707
"nonlinear_psa",15,"calibration_intercept",-0.00369395169079136
"nonlinear_psa",15,"calibration_slope",0.897981504704578
"nonlinear_psa",16,"auc",0.802769859779448
"nonlinear_psa",16,"brier",0.176221921623281
"nonlinear_psa",16,"log_loss",0.527680687458914
"nonlinear_psa",16,"calibration_intercept",0.00128912868024074
"nonlinear_psa",16,"calibration_slope",0.8637108342457
"nonlinear_psa",17,"auc",0.811666810630273
"nonlinear_psa",17,"brier",0.171421264654078
"nonlinear_psa",17,"log_loss",0.513121338424798
"nonlinear_psa",17,"calibration_intercept",-0.0119546153352394
"nonlinear_psa",17,"calibration_slope",0.916169172721339
"nonlinear_psa",18,"auc",0.808269269528663
"nonlinear_psa",18,"brier",0.17349132637427
"nonlinear_psa",18,"log_loss",0.519939313369959
"nonlinear_psa",18,"calibration_intercept",0.00601297658599355
"nonlinear_psa",18,"calibration_slope",0.893064904707631
"nonlinear_psa",19,"auc",0.799516282283839
"nonlinear_psa",19,"brier",0.176996829817533
"nonlinear_psa",19,"log_loss",0.528883234073576
"nonlinear_psa",19,"calibration_intercept",-0.000325796092243139
"nonlinear_psa",19,"calibration_slope",0.85814130920684
"nonlinear_psa",20,"auc",0.802280383519046
"nonlinear_psa",20,"brier",0.175483917467335
"nonlinear_psa",20,"log_loss",0.525557337007559
"nonlinear_psa",20,"calibration_intercept",-0.0124970889252038
"nonlinear_psa",20,"calibration_slope",0.868611070796611
